Z propeno,F in,D/F,RR,QREF    ,QCOND   ,FTOPO   ,FFUNDO  ,YETANO  ,YPROPENO,YPROPANO,YPES,XETANO  ,XPROPENO,XPROPANO,TEMPTOPO,TEMPFUND,DELTAP  
0.2,1037.5,0.25,1,11673.4794,-3225272.77,12056.4275,16479.3883,0.017706378,0.254454825,0.0602446,0.000459338,2.25977E-12,2.30456E-06,8.81208E-06,305.64069,332.685771,0.1451014
0.7,1556.2,0.65,4,3339149.82,-737027.634,51471.2652,59344.6353,0.109486331,0.920456348,0.320055709,0.525476255,0.005700688,0.506764819,0.067602655,329.936968,376.976143,0.1874993
0.443036389,1296.84,0.458841379,2.33,1417359.116,-1770631.685,28661.51855,33847.88649,0.047816996,0.693258026,0.15217435,0.106750629,0.000367247,0.130729043,0.025990404,313.828835,361.6799616,0.163005623
0.409611055,1037.5,0.25,1,714050.486,-793090.354,12599.8686,37780.0329,0.084619988,0.759768386,0.154984265,0.000627361,5.69E-06,0.219959756,0.067602351,306.561648,349.89069,0.1519418
0.409611055,1037.5,0.25,1.5,714046.244,-793087.182,12599.8689,37780.0324,0.084619968,0.759765273,0.1549874,0.000627359,5.69E-06,0.219960799,0.067601307,306.561693,349.889979,0.1519414
0.409611055,1037.5,0.25,1.98,714046.229,-793087.173,12599.8689,37780.0324,0.084619968,0.759765256,0.154987417,0.000627359,5.69E-06,0.219960805,0.067601301,306.561694,349.889979,0.1519414
0.409611055,1037.5,0.25,2.5,714046.229,-793087.173,12599.8689,37780.0324,0.084619968,0.759765255,0.154987417,0.00062736,5.69E-06,0.219960805,0.067601301,306.561694,349.889979,0.1519414
0.409611055,1037.5,0.25,3,714046.229,-793087.173,12599.8689,37780.0324,0.084619968,0.759765255,0.154987417,0.00062736,5.69E-06,0.219960805,0.067601301,306.561694,349.889979,0.1519414
0.409611055,1037.5,0.25,4,714046.229,-793087.173,12599.8689,37780.0324,0.084619968,0.759765255,0.154987417,0.00062736,5.69E-06,0.219960805,0.067601301,306.561694,349.889979,0.1519414
0.409611055,1037.5,0.35,1,1030630.83,-1089394.42,17639.8167,32744.1237,0.060454929,0.778172931,0.160688777,0.000683363,5.49E-08,0.126930907,0.051071147,309.103825,358.210796,0.1553408
0.409611055,1037.5,0.35,1.5,1030626.55,-1089395.75,17639.8164,32744.1238,0.060454929,0.778171109,0.16069059,0.000683372,5.51E-08,0.12693189,0.05107017,309.103841,358.210744,0.1553402
0.409611055,1037.5,0.35,1.98,1030626.56,-1089395.76,17639.8164,32744.1238,0.060454929,0.778171209,0.16069049,0.000683372,5.50E-08,0.126931836,0.051070224,309.10384,358.210746,0.1553402
0.409611055,1037.5,0.35,2.5,1030626.56,-1089395.76,17639.8164,32744.1238,0.060454929,0.77817121,0.160690489,0.000683372,5.50E-08,0.126931836,0.051070225,309.10384,358.210746,0.1553402
0.409611055,1037.5,0.35,3,1030626.56,-1089395.76,17639.8164,32744.1238,0.060454929,0.77817121,0.160690489,0.000683372,5.50E-08,0.126931836,0.051070225,309.10384,358.210746,0.1553402
0.409611055,1037.5,0.35,4,1030626.56,-1089395.76,17639.8164,32744.1238,0.060454929,0.77817121,0.160690489,0.000683372,5.50E-08,0.126931836,0.051070225,309.10384,358.210746,0.1553402
0.409611055,1037.5,0.4594,1,1387528.82,-1411289.9,23153.5192,27234.7109,0.046058469,0.766559066,0.186665266,0.000717199,4.31E-10,0.004939616,0.006787026,310.802378,372.88112,0.1587825
0.409611055,1037.5,0.4594,1.5,1387527.67,-1411289.21,23153.5192,27234.7107,0.046058469,0.766556476,0.18666751,0.000717545,4.32E-10,0.004941818,0.006785118,310.802403,372.880986,0.1587805
0.409611055,1037.5,0.4594,1.98,1387527.65,-1411289.22,23153.5192,27234.7108,0.046058469,0.766556403,0.186667566,0.000717562,4.32E-10,0.004941879,0.00678507,310.802404,372.880984,0.1587804
0.409611055,1037.5,0.4594,2.5,1387527.65,-1411289.22,23153.5192,27234.7108,0.046058469,0.766556402,0.186667567,0.000717562,4.32E-10,0.00494188,0.00678507,310.802404,372.880984,0.1587804
0.409611055,1037.5,0.4594,3,1387527.65,-1411289.22,23153.5192,27234.7108,0.046058469,0.766556402,0.186667567,0.000717562,4.32E-10,0.00494188,0.006785069,310.802404,372.880984,0.1587804
0.409611055,1037.5,0.4594,4,1387527.65,-1411289.22,23153.5192,27234.7108,0.046058469,0.766556402,0.186667567,0.000717562,4.32E-10,0.00494188,0.006785069,310.802404,372.880984,0.1587804
0.409611055,1037.5,0.55,1,1674343.14,-1718095.59,27719.7103,22673.9266,0.038471389,0.645099708,0.162530159,0.153898744,1.24E-11,4.82E-05,6.67E-05,315.855068,374.86202,0.1633332
0.409611055,1037.5,0.55,1.5,1674390.43,-1718252.07,27719.7112,22673.924,0.038471394,0.64509981,0.162530202,0.153898594,1.24E-11,4.82E-05,6.67E-05,315.855172,374.861959,0.1633338
0.409611055,1037.5,0.55,1.98,1674390.01,-1718251.33,27719.7112,22673.9241,0.038471393,0.645099802,0.1625302,0.153898605,1.24E-11,4.82E-05,6.67E-05,315.855172,374.861968,0.1633339
0.409611055,1037.5,0.55,2.5,1674390.02,-1718251.33,27719.7112,22673.9241,0.038471393,0.645099802,0.1625302,0.153898605,1.24E-11,4.82E-05,6.67E-05,315.855173,374.861967,0.1633339
0.409611055,1037.5,0.55,3,1674390.01,-1718251.33,27719.7112,22673.9241,0.038471393,0.645099802,0.1625302,0.153898605,1.24E-11,4.82E-05,6.67E-05,315.855173,374.861967,0.1633339
0.409611055,1037.5,0.55,4,1674390.01,-1718251.33,27719.7112,22673.9241,0.038471393,0.645099802,0.1625302,0.153898605,1.24E-11,4.82E-05,6.67E-05,315.855173,374.861967,0.1633339
0.409611055,1037.5,0.65,1,1974969.26,-2041011.4,32759.658,17639.817,0.032552713,0.545882652,0.137565603,0.283999032,2.26E-12,8.03E-06,1.13E-05,320.859625,376.102051,0.1666687
0.409611055,1037.5,0.65,1.5,1974942.73,-2040978.88,32759.6593,17639.816,0.03255271,0.545882606,0.137565589,0.283999095,2.26E-12,8.03E-06,1.13E-05,320.859156,376.101882,0.1666672
0.409611055,1037.5,0.65,1.98,1974940.25,-2040977.09,32759.6593,17639.8164,0.032552709,0.545882581,0.137565584,0.283999126,2.26E-12,8.03E-06,1.13E-05,320.859143,376.101983,0.166666
0.409611055,1037.5,0.65,2.5,1974940.38,-2040977.27,32759.6592,17639.8165,0.032552709,0.545882583,0.137565584,0.283999124,2.26E-12,8.03E-06,1.13E-05,320.859144,376.101966,0.1666661
0.409611055,1037.5,0.65,3,1974940.33,-2040977.21,32759.6592,17639.8165,0.032552709,0.545882583,0.137565584,0.283999124,2.26E-12,8.03E-06,1.13E-05,320.859144,376.101969,0.1666661
0.409611055,1037.5,0.65,4,1974940.35,-2040977.23,32759.6592,17639.8165,0.032552709,0.545882584,0.137565584,0.283999123,2.26E-12,8.03E-06,1.13E-05,320.859144,376.101968,0.1666661
0.409611055,1167.16,0.25,1,803367.31,-892201.075,14174.5187,42501.5353,0.084619976,0.759769301,0.154983348,0.000627375,5.69E-06,0.219959437,0.067602655,306.561674,349.898343,0.1545728
0.409611055,1167.16,0.25,1.5,803351.258,-892202.043,14174.5186,42501.535,0.084619962,0.759765121,0.154987555,0.000627362,5.70E-06,0.21996085,0.067601255,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.25,1.98,803351.263,-892202.04,14174.5186,42501.535,0.084619962,0.759765112,0.154987564,0.000627362,5.70E-06,0.219960853,0.067601252,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.25,2.5,803351.262,-892202.04,14174.5186,42501.535,0.084619962,0.759765112,0.154987564,0.000627362,5.70E-06,0.219960853,0.067601252,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.25,3,803351.262,-892202.04,14174.5186,42501.535,0.084619962,0.759765112,0.154987564,0.000627362,5.70E-06,0.219960853,0.067601252,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.25,4,803351.262,-892202.04,14174.5186,42501.535,0.084619962,0.759765112,0.154987564,0.000627362,5.70E-06,0.219960853,0.067601252,306.561695,349.897934,0.1545736
